	gene	baseMean	log2FoldChange	lfcSE	pvalue	padj
47037	ENSG00000263126	4.44315067522039	-0.00721017231294332	0.32887418538089	0.899604641610699	NA
47038	ENSG00000263127	0	NA	NA	NA	NA
47039	ENSG00000263130	0	NA	NA	NA	NA
47040	ENSG00000263137	0	NA	NA	NA	NA
47041	ENSG00000263140	0.98696962222157	-0.0140217020561463	0.334486529656777	0.484606763887619	NA
47042	ENSG00000263141	0.25	0.0107404406769818	0.334114676617603	0.760944501927839	NA
47043	ENSG00000263142	0	NA	NA	NA	NA
47044	ENSG00000263146	0	NA	NA	NA	NA
47045	ENSG00000263150	0	NA	NA	NA	NA
47046	ENSG00000263154	0	NA	NA	NA	NA
47047	ENSG00000263155	94.6201747841235	1.35652604064708	0.584316036958527	0.000982405745489456	0.0230751870978497
47048	ENSG00000263158	0	NA	NA	NA	NA
47049	ENSG00000263159	0	NA	NA	NA	NA
47050	ENSG00000263160	121.176891331421	1.14004314251815	0.687935458104163	0.00423614960870175	0.0628752383005847
47051	ENSG00000263163	24.848227001199	0.0660115683675855	0.321075527801246	0.557732875656588	0.888342330669596
47052	ENSG00000263164	0.501656104006643	0.000537018437259279	0.333443853815354	0.979673699778355	NA
47053	ENSG00000263165	0	NA	NA	NA	NA
47054	ENSG00000263167	0	NA	NA	NA	NA
47055	ENSG00000263176	0	NA	NA	NA	NA
47056	ENSG00000263177	0.264667317373072	0.0108781744788164	0.334125837279427	0.754487187902722	NA
47057	ENSG00000263179	0	NA	NA	NA	NA
47058	ENSG00000263181	0.529334634746145	0.0128602906070157	0.334313079535666	0.599272471322019	NA
47059	ENSG00000263186	0	NA	NA	NA	NA
47060	ENSG00000263189	0	NA	NA	NA	NA
47061	ENSG00000263196	0	NA	NA	NA	NA
47062	ENSG00000263199	0	NA	NA	NA	NA
47063	ENSG00000263201	0	NA	NA	NA	NA
47064	ENSG00000263206	0	NA	NA	NA	NA
47065	ENSG00000263207	0	NA	NA	NA	NA
47066	ENSG00000263212	0	NA	NA	NA	NA
47067	ENSG00000263218	0.529334634746145	0.0128602906070157	0.334313079535666	0.599272471322019	NA
47068	ENSG00000263219	0	NA	NA	NA	NA
47069	ENSG00000263220	0.25	0.0107404406769818	0.334114676617603	0.760944501927839	NA
47070	ENSG00000263229	0	NA	NA	NA	NA
47071	ENSG00000263231	0	NA	NA	NA	NA
47072	ENSG00000263232	0	NA	NA	NA	NA
47073	ENSG00000263234	0	NA	NA	NA	NA
47074	ENSG00000263235	0.970719978822534	-0.0100714444945066	0.333412093580255	0.707835289356312	NA
47075	ENSG00000263236	0	NA	NA	NA	NA
47076	ENSG00000263237	0	NA	NA	NA	NA
47077	ENSG00000263238	8.54182058613713	0.00464252749052298	0.332038692622494	0.910789959701617	0.982602781451851
