	gene	sum159_dmso1.trimmed	sum159_dmso2.trimmed	sum159_jq1.trimmed	sum159_jq2.trimmed	symbol
185	ENSG00000112697	506.315416199665	495.78054163743	1260.87509996532	759	TMEM30A
186	ENSG00000112742	445.123299621928	474.925528413676	204.323169012012	203	TTK
187	ENSG00000112972	751.083882510614	618.066755540352	230.789900749319	342	HMGCS1
188	ENSG00000112984	1421.23625599906	1277.84353752821	644.729585120804	468	KIF20A
189	ENSG00000113356	92.7751444888275	92.8996043603597	31.7600780847687	20	POLR3G
190	ENSG00000113368	531.976626377426	462.60211150873	242.435262713734	267	LMNB1
191	ENSG00000113369	447.097238866371	450.278694603784	789.767275041248	803	ARRDC3
192	ENSG00000113407	1935.4474291765	1702.52744317557	1098.898701733	1083	TARS
193	ENSG00000113460	376.035426066418	391.505475518659	151.389705537397	136	BRIX1
194	ENSG00000113621	418.475119821945	255.947889564256	125.981643069582	126	TXNDC15
195	ENSG00000113638	252.664223288722	238.884696926639	113.277611835675	113	TTC33
196	ENSG00000113649	439.201481888598	511.895779128513	269.960663720534	254	TCERG1
197	ENSG00000113657	51.3224203555216	33.1784301286999	175.73909873572	111	DPYSL3
198	ENSG00000113721	828.067513043897	582.992415118584	279.488687145964	307	PDGFRB
199	ENSG00000114107	370.113608333089	293.866095425628	92.1042264458292	74	CEP70
200	ENSG00000114331	309.908461377573	195.278760186062	669.078978319127	535	ACAP2
201	ENSG00000114346	967.230229777138	796.282323088797	329.246142812102	379	ECT2
202	ENSG00000114353	1030.39628559932	979.237666369914	1522.36640952991	1581	GNAI2
203	ENSG00000114686	656.334798777344	799.1261885284	365.24089797484	373	MRPL3
204	ENSG00000114850	1091.58840217706	1140.39004128074	665.90297051065	570	SSR3
205	ENSG00000115107	574.416320132954	616.170845247284	310.190095961241	344	STEAP3
206	ENSG00000115109	35.5309063999765	43.605936740577	124.92297380009	118	EPB41L5
207	ENSG00000115129	41.4527241333059	29.3866095425628	142.920351381459	139	TP53I3
208	ENSG00000115419	435.253603399712	507.156003395841	1244.99506092293	973	GLS
209	ENSG00000115541	994.865379199342	1019.99973767089	628.84954607842	571	HSPE1
210	ENSG00000115594	704.696310266201	639.869723910641	347.243520393471	407	IL1R1
211	ENSG00000115602	53.2963595999648	91.9516492138254	6.35201561695374	15	IL1RL1
212	ENSG00000115652	191.472106710984	194.330805039528	362.064890166363	342	UXS1
213	ENSG00000115758	758.979639488387	703.382718728438	2325.89638507456	2109	ODC1
214	ENSG00000115919	915.907809421617	874.962600251143	224.437885132365	178	KYNU
215	ENSG00000116044	1045.20082993264	1055.07407809266	615.08684557502	672	NFE2L2
216	ENSG00000116132	108.566658444373	74.8884565762083	20.1147161203535	26	PRRX1
217	ENSG00000116191	222.068164999853	330.836346140465	628.84954607842	570	RALGPS2
218	ENSG00000116350	239.833618199841	232.249010900899	926.335610805753	680	SRSF4
219	ENSG00000117228	397.748757755293	262.583575589996	102.690919140752	103	GBP1
220	ENSG00000117450	2647.05252679825	2578.43799857325	4377.59742935062	3727	PRDX1
221	ENSG00000117461	127.319081266582	102.379155825703	893.516863451492	614	PIK3R3
222	ENSG00000117525	212.198468777637	216.133773409816	520.865280590206	452	F3
223	ENSG00000117528	289.18209931092	285.334499106819	520.865280590206	525	ABCD3
224	ENSG00000117594	128.306050888804	127.025989635594	39.1707629712147	51	HSD11B1
225	ENSG00000117616	293.129977799806	347.899538778082	534.627981093606	563	RSRP1
226	ENSG00000117632	1828.85470997657	1558.43826090236	931.628957153215	832	STMN1
227	ENSG00000117650	317.804218355345	322.304749821656	152.44837480689	127	NEK2
228	ENSG00000117724	1337.34383811023	1977.43443567051	937.980972770168	579	CENPF
229	ENSG00000117862	497.432689599671	516.635554861184	289.016710571395	311	TXNDC12
230	ENSG00000117984	1875.24228222098	2025.78014814376	2854.17235055121	3283	CTSD
231	ENSG00000118762	62.1790861999589	106.17097641184	236.083247096781	201	PKD2
232	ENSG00000119403	376.035426066418	271.115171908805	114.336281105167	109	PHF19
233	ENSG00000119673	148.045443333235	83.4200528950169	28.5840702762918	26	ACOT2
234	ENSG00000119686	118.436354666588	144.089182273211	436.171739030823	294	FLVCR2
235	ENSG00000120129	215.159377644302	226.561280021694	416.05702291047	435	DUSP1
236	ENSG00000120256	368.139669088645	364.962731415699	700.839056403896	599	LRP11
237	ENSG00000120526	202.328772555422	213.289907970214	98.4562420627829	97	NUDCD1
238	ENSG00000120696	148.045443333235	154.516688885088	56.1094712830913	64	KBTBD7
239	ENSG00000120699	304.973613266465	395.297296104796	185.267122161151	122	EXOSC8
240	ENSG00000120820	142.123625599906	140.297361687074	46.5814478576607	61	GLT8D2
241	ENSG00000120885	448.084208488593	397.193206397864	1348.74464933318	1276	CLU
242	ENSG00000120896	512.237233932995	138.401451394005	60.3441483610605	73	SORBS3
