	sum159_dmso1.trimmed	sum159_dmso2.trimmed	sum159_jq1.trimmed	sum159_jq2.trimmed
ENSG00000006744	8.48599236950515	8.36153293924284	8.53284253889731	8.40706526058454
ENSG00000006747	2.85048095831428	2.42560718202934	2.48373095076225	2.42768434260652
ENSG00000006756	6.01828896127187	6.29696115842978	6.34500871587261	6.77208444246372
ENSG00000006757	5.94173732597054	5.76220094659227	6.36048094680574	6.55376394914446
ENSG00000006788	-1.72803815437241	-1.72829709751873	-1.71474735135719	-1.7279539458844
ENSG00000006837	3.08086197539487	3.01842072556196	2.86280439054924	2.989161262926
ENSG00000007001	-1.7158065836579	-1.7280686287991	-1.72740477834365	-1.72774741495322
ENSG00000007047	6.80369933217228	6.1015432088542	6.68513505994091	6.86661301722312
ENSG00000007062	-1.72771006534823	-1.71637323087175	-1.7273043650726	-1.72763418814369
ENSG00000007080	7.19818442004336	7.23470309832631	7.0246203042353	7.56685757801835
ENSG00000007129	0	0	0	0
ENSG00000007168	8.47127433445956	8.07973272315271	8.85463095427776	8.46788797429225
ENSG00000007171	-1.02034871404033	-1.02039349930295	-1.01955721971042	-0.974772486381347
ENSG00000007174	1.28210707781244	1.25884040875636	1.35351300204286	1.36966499183518
ENSG00000007202	10.1025823931269	9.94561833308913	10.8110522340544	10.5641409101136
ENSG00000007216	0	0	0	0
ENSG00000007237	-1.05470772909936	-1.01247126374676	-1.05393786405145	-1.05456374298148
ENSG00000007255	4.64414445700583	4.58270566871457	4.60279169862572	4.94122593888138
ENSG00000007264	-1.72786490356199	-1.72811031091821	-1.72743819337981	-1.71561575705874
ENSG00000007306	0	0	0	0
ENSG00000007312	-1.7158065836579	-1.7280686287991	-1.72740477834365	-1.72774741495322
ENSG00000007314	-1.72786490356199	-1.72811031091821	-1.72743819337981	-1.71561575705874
ENSG00000007341	5.65400605793596	5.86307963496337	5.36882013152768	5.5270893918331
ENSG00000007350	0	0	0	0
ENSG00000007372	0.00105402343654093	-0.0656045865555294	-0.0653621105463054	-0.0424047922061082
ENSG00000007376	5.62537078031718	6.24767396333464	5.75955294019866	6.45601416764943
ENSG00000007384	6.48043765140798	6.6917077437691	6.83345191159724	7.14490442809288
ENSG00000007392	6.95454793965467	7.21486812836555	7.72969570850863	7.42255490809617
ENSG00000007402	1.65176818711752	1.69166537939781	1.65514141915643	1.71701128559226
ENSG00000007516	4.06068758418733	4.01138987007496	4.54112292389937	4.19502385613043
ENSG00000007520	6.55909705133241	6.70770119844324	6.55064603126418	6.8701827332049
ENSG00000007541	6.23589282207726	6.28696976827456	6.80771117670153	6.69615477848181
ENSG00000007545	5.9282408701946	6.02414119866829	6.16641110927852	6.27644239676431
ENSG00000007866	6.43256033275424	6.42870185982697	6.47224522651687	6.54706315905352
ENSG00000007908	-1.7158065836579	-1.7280686287991	-1.72740477834365	-1.72774741495322
ENSG00000007923	7.4151754447416	7.25739643595065	7.25308347289756	7.3935536315337
ENSG00000007933	8.14738544522907	7.96963865726706	7.69005219411683	7.69226569582408
ENSG00000007944	6.47161301249398	6.4363379676079	6.80359455079018	6.72885308207675
ENSG00000007952	-1.7158065836579	-1.7280686287991	-1.72740477834365	-1.72774741495322
ENSG00000008018	9.42590908740039	9.5174856649864	9.42133240457055	9.40460227521639
ENSG00000008056	2.72803472293813	2.80094811757336	2.69057354700882	2.84714412278728
ENSG00000008083	7.61615154043045	7.44636908513225	7.35056332175469	7.53950866602738
ENSG00000008086	6.26878733159666	6.34607612596547	6.50820951830877	6.60923792772678
ENSG00000008118	-0.47797546506268	-0.478040015522482	-0.477858125634858	-0.410676792915229
ENSG00000008128	6.13500543014658	6.32358081408076	6.67422202096348	7.06111171667704
ENSG00000008130	8.00879444308272	7.67605528336886	8.0973596592539	8.01375711730674
ENSG00000008196	0	0	0	0
ENSG00000008197	0	0	0	0
ENSG00000008226	2.9356774548005	3.16202982748222	3.17339246753191	2.83938269661112
ENSG00000008256	6.8730131755853	6.98014929048175	7.52960921319936	7.39933963512174
